Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
16,clean-run,10000,TRUE,uniform,UPDATE,52.7,11014.4,0.5,0.5,0,0,0,215818,463.3533811,49922,3549.966989,261,1289215,14087,32959,49922
16,avg-run,10000,TRUE,uniform,READ,52.7,11020.2,0.5,0.5,0,0,0,7062,14160.29453,0,NaN,9.22E+18,0,0,0,49951
16,avg-run,10000,TRUE,uniform,UPDATE,52.7,11020.2,0.5,0.5,0,0,0,7062,14160.29453,0,NaN,9.22E+18,0,0,0,50049
17,extend,10000,TRUE,uniform,EXTEND,49.3,10946.3,0,0,0,0,1,2071155,241.4111933,500000,4138.542922,449,412927,14959,37471,500000
17,run,10000,TRUE,uniform,READ,49,11132.3,0.5,0.5,0,0,0,223751,446.9253769,49849,735.9973319,215,194559,743,2207,49849
17,run,10000,TRUE,uniform,UPDATE,49,11132.3,0.5,0.5,0,0,0,223751,446.9253769,50151,3714.100158,275,442879,13847,27871,50151
17,reference,10000,TRUE,uniform,READ,48.5,11126.5,0.5,0.5,0,0,0,267290,374.1254817,50228,1404.432129,218,140927,9543,17391,50228
17,reference,10000,TRUE,uniform,UPDATE,48.5,11126.5,0.5,0.5,0,0,0,267290,374.1254817,49772,3936.459415,283,297727,16879,25743,49772
17,clean-run,10000,TRUE,uniform,READ,48.1,10241.5,0.5,0.5,0,0,0,247244,404.4587533,49884,820.2411996,226,263935,767,3361,49884
17,clean-run,10000,TRUE,uniform,UPDATE,48.1,10241.5,0.5,0.5,0,0,0,247244,404.4587533,50116,4101.202909,267,287743,14415,43007,50116
17,avg-run,10000,TRUE,uniform,READ,48.1,10259.6,0.5,0.5,0,0,0,7000,14285.71429,0,NaN,9.22E+18,0,0,0,50079
17,avg-run,10000,TRUE,uniform,UPDATE,48.1,10259.6,0.5,0.5,0,0,0,7000,14285.71429,0,NaN,9.22E+18,0,0,0,49921
18,extend,10000,TRUE,uniform,EXTEND,45.3,10800.4,0,0,0,0,1,2395399,208.7334928,500000,4787.076464,487,1181695,15575,47071,500000
18,run,10000,TRUE,uniform,READ,45,11361.2,0.5,0.5,0,0,0,265154,377.1393228,50087,866.35634,229,220159,799,10423,50087
18,run,10000,TRUE,uniform,UPDATE,45,11361.2,0.5,0.5,0,0,0,265154,377.1393228,49913,4426.402781,314,483071,16255,37215,49913
18,reference,10000,TRUE,uniform,READ,44.4,11352.4,0.5,0.5,0,0,0,427089,234.1432348,50089,3606.014854,246,140671,15039,26399,50089
18,reference,10000,TRUE,uniform,UPDATE,44.4,11352.4,0.5,0.5,0,0,0,427089,234.1432348,49911,4913.533229,313,371455,17695,48543,49911
18,clean-run,10000,TRUE,uniform,READ,44,11781.7,0.5,0.5,0,0,0,299648,333.7249039,49884,1021.652734,259,204671,826,17327,49884
18,clean-run,10000,TRUE,uniform,UPDATE,44,11781.7,0.5,0.5,0,0,0,299648,333.7249039,50116,4946.117707,309,384255,17231,45695,50116
18,avg-run,10000,TRUE,uniform,READ,44,11771.2,0.5,0.5,0,0,0,7298,13702.38421,0,NaN,9.22E+18,0,0,0,49981
18,avg-run,10000,TRUE,uniform,UPDATE,44,11771.2,0.5,0.5,0,0,0,7298,13702.38421,0,NaN,9.22E+18,0,0,0,50019
19,extend,10000,TRUE,uniform,EXTEND,41.5,11706.5,0,0,0,0,1,2859863,174.8335497,500000,5715.649106,548,457215,17455,55551,500000
19,run,10000,TRUE,uniform,READ,41.2,11864.2,0.5,0.5,0,0,0,320991,311.5352144,50094,1186.868567,261,183039,943,21807,50094
19,run,10000,TRUE,uniform,UPDATE,41.2,11864.2,0.5,0.5,0,0,0,320991,311.5352144,49906,5223.898489,343,392191,18111,39231,49906
19,reference,10000,TRUE,uniform,READ,40.8,11872.8,0.5,0.5,0,0,0,420554,237.7815929,50079,2668.935742,261,157055,12767,26479,50079
19,reference,10000,TRUE,uniform,UPDATE,40.8,11872.8,0.5,0.5,0,0,0,420554,237.7815929,49921,5729.511228,342,292351,19279,48479,49921
19,clean-run,10000,TRUE,uniform,READ,40.4,12545,0.5,0.5,0,0,0,353382,282.9798914,49764,1193.406338,289,249087,901,22159,49764
19,clean-run,10000,TRUE,uniform,UPDATE,40.4,12545,0.5,0.5,0,0,0,353382,282.9798914,50236,5835.496198,345,256511,18815,50847,50236
19,avg-run,10000,TRUE,uniform,READ,40.4,12535.5,0.5,0.5,0,0,0,6988,14310.24614,0,NaN,9.22E+18,0,0,0,50110
19,avg-run,10000,TRUE,uniform,UPDATE,40.4,12535.5,0.5,0.5,0,0,0,6988,14310.24614,0,NaN,9.22E+18,0,0,0,49890
20,extend,10000,TRUE,uniform,EXTEND,38.2,12572.4,0,0,0,0,1,3365108,148.5836413,500000,6725.864222,597,571391,20287,63615,500000
